"On the whole are you very satisfied, fairly satisfied, not very satisfied or not at all satisfied with the life you lead ?"
Belgium
"date","Very satisfied","Fairly satisfied","Not very satisfied","Not at all satisfied","DK - Don't know"
10/1975,0% ,0% ,0% ,0% ,0% 
05/1976,0% ,0% ,0% ,0% ,0% 
11/1976,0% ,0% ,0% ,0% ,0% 
06/1977,0% ,0% ,0% ,0% ,0% 
10/1977,0% ,0% ,0% ,0% ,0% 
05/1978,0% ,0% ,0% ,0% ,0% 
10/1978,0% ,0% ,0% ,0% ,0% 
04/1979,0% ,0% ,0% ,0% ,0% 
04/1980,0% ,0% ,0% ,0% ,0% 
05/1981,19% ,39% ,20% ,22% ,0% 
05/1982,18% ,46% ,22% ,13% ,1% 
10/1982,17% ,39% ,29% ,14% ,1% 
04/1983,17% ,46% ,20% ,17% ,0% 
11/1983,18% ,45% ,24% ,12% ,1% 
04/1984,19% ,46% ,21% ,14% ,0% 
11/1984,15% ,48% ,25% ,12% ,0% 
04/1985,19% ,48% ,22% ,11% ,0% 
11/1985,13% ,43% ,27% ,16% ,1% 
03/1986,22% ,46% ,17% ,14% ,1% 
11/1986,21% ,46% ,21% ,12% ,0% 
05/1987,20% ,49% ,18% ,13% ,0% 
11/1987,15% ,37% ,29% ,19% ,0% 
04/1988,19% ,46% ,19% ,16% ,0% 
11/1988,12% ,46% ,33% ,8% ,1% 
03/1989,23% ,43% ,19% ,14% ,1% 
07/1989,28% ,40% ,18% ,14% ,0% 
11/1989,17% ,51% ,21% ,10% ,0.60% 
04/1990,19% ,46% ,20% ,15% ,0.10% 
11/1990,15% ,47% ,23% ,14% ,0.70% 
03/1991,8% ,46% ,36% ,9% ,0.30% 
10/1991,7% ,45% ,35% ,11% ,1% 
04/1992,7% ,46% ,35% ,10% ,0.60% 
10/1992,11% ,45% ,32% ,11% ,0.50% 
04/1993,8% ,41% ,34% ,17% ,0.50% 
11/1993,9% ,42% ,37% ,12% ,0.30% 
05/1994,7% ,47% ,34% ,11% ,0.40% 
12/1994,6% ,44% ,38% ,12% ,0.20% 
06/1995,7% ,44% ,34% ,15% ,0.10% 
01/1996,9% ,52% ,30% ,8% ,1% 
04/1997,12% ,51% ,30% ,7% ,0.10% 
05/1998,7% ,48% ,33% ,12% ,0.30% 
11/1999,10% ,53% ,30% ,7% ,0.60% 
06/2000,9% ,49% ,32% ,9% ,0.20% 
01/2001,16% ,45% ,25% ,15% ,0.10% 
05/2001,9% ,48% ,30% ,12% ,0.10% 
11/2001,9% ,50% ,28% ,12% ,0.60% 
11/2003,12.80% ,50.40% ,28.30% ,8.30% ,0.10% 
10/2004,14% ,52% ,27% ,7% ,0% 
06/2005,11% ,54% ,26% ,9% ,0% 
10/2005,14% ,51% ,25% ,10% ,0% 
04/2006,11% ,56% ,25% ,8% ,0% 
09/2006,15% ,55% ,22% ,8% ,0% 
05/2007,10% ,57% ,25% ,8% ,0% 
10/2007,10% ,58% ,25% ,7% ,0% 
04/2008,11% ,54% ,29% ,6% ,0% 
10/2008,6% ,47% ,38% ,9% ,0% 
06/2009,2% ,42% ,42% ,14% ,0% 
11/2009,8% ,50% ,32% ,10% ,0% 
06/2010,4% ,38% ,36% ,22% ,0% 
11/2010,6% ,43% ,32% ,19% ,0% 
05/2011,6% ,40% ,33% ,21% ,0% 
11/2011,3% ,34% ,38% ,25% ,0% 
05/2012,3% ,29% ,35% ,33% ,0% 
11/2012,3% ,29% ,38% ,30% ,0% 
05/2013,3% ,33% ,33% ,31% ,0% 

Spain
"date","Very satisfied","Fairly satisfied","Not very satisfied","Not at all satisfied","DK - Don't know"
09/1973,0% ,0% ,0% ,0% ,0% 
05/1975,0% ,0% ,0% ,0% ,0% 
10/1975,0% ,0% ,0% ,0% ,0% 
05/1976,0% ,0% ,0% ,0% ,0% 
11/1976,0% ,0% ,0% ,0% ,0% 
06/1977,0% ,0% ,0% ,0% ,0% 
10/1977,0% ,0% ,0% ,0% ,0% 
05/1978,0% ,0% ,0% ,0% ,0% 
10/1978,0% ,0% ,0% ,0% ,0% 
04/1979,0% ,0% ,0% ,0% ,0% 
04/1980,0% ,0% ,0% ,0% ,0% 
05/1981,0% ,0% ,0% ,0% ,0% 
05/1982,0% ,0% ,0% ,0% ,0% 
10/1982,0% ,0% ,0% ,0% ,0% 
04/1983,0% ,0% ,0% ,0% ,0% 
11/1983,0% ,0% ,0% ,0% ,0% 
04/1984,0% ,0% ,0% ,0% ,0% 
11/1984,0% ,0% ,0% ,0% ,0% 
04/1985,0% ,0% ,0% ,0% ,0% 
11/1985,23% ,47% ,22% ,7% ,1% 
03/1986,30% ,45% ,19% ,5% ,1% 
11/1986,23% ,48% ,20% ,7% ,2% 
05/1987,31% ,42% ,21% ,5% ,1% 
11/1987,24% ,48% ,23% ,4% ,1% 
04/1988,28% ,48% ,18% ,5% ,1% 
11/1988,18% ,43% ,31% ,6% ,2% 
03/1989,18% ,66% ,13% ,2% ,1% 
07/1989,16% ,65% ,15% ,3% ,1% 
11/1989,26% ,49% ,21% ,3% ,0.50% 
04/1990,26% ,51% ,17% ,4% ,0.20% 
11/1990,23% ,53% ,20% ,4% ,0.40% 
03/1991,25% ,55% ,17% ,3% ,0% 
10/1991,23% ,55% ,18% ,4% ,0.30% 
04/1992,26% ,53% ,18% ,3% ,0.50% 
10/1992,19% ,53% ,22% ,4% ,0.60% 
04/1993,17% ,56% ,22% ,4% ,0.70% 
11/1993,15% ,55% ,23% ,6% ,0.40% 
05/1994,14% ,54% ,24% ,7% ,0.60% 
12/1994,17% ,56% ,20% ,7% ,0.20% 
06/1995,14% ,61% ,20% ,4% ,0.80% 
01/1996,14% ,61% ,18% ,4% ,2% 
04/1997,16% ,62% ,19% ,3% ,0.30% 
05/1998,15% ,57% ,23% ,5% ,0% 
11/1999,21% ,62% ,14% ,2% ,1% 
06/2000,18% ,63% ,18% ,1% ,0.40% 
01/2001,17% ,66% ,15% ,1% ,0% 
05/2001,18% ,67% ,12% ,2% ,1% 
11/2001,21% ,63% ,13% ,1% ,1% 
11/2003,19.40% ,63.80% ,14.60% ,1.70% ,0.50% 
10/2004,30% ,56% ,11% ,3% ,0% 
06/2005,17% ,69% ,11% ,2% ,1% 
10/2005,23% ,61% ,13% ,2% ,1% 
04/2006,22% ,66% ,10% ,1% ,0% 
09/2006,25% ,65% ,9% ,1% ,1% 
05/2007,21% ,67% ,11% ,1% ,0% 
10/2007,22% ,65% ,12% ,1% ,0% 
04/2008,19% ,66% ,14% ,1% ,0% 
10/2008,17% ,67% ,14% ,2% ,0% 
06/2009,14% ,61% ,20% ,5% ,0% 
11/2009,11% ,63% ,20% ,6% ,0% 
06/2010,17% ,60% ,17% ,6% ,0% 
11/2010,14% ,62% ,18% ,6% ,0% 
05/2011,16% ,61% ,16% ,7% ,0% 
11/2011,10% ,63% ,20% ,7% ,0% 
05/2012,15% ,57% ,21% ,7% ,0% 
11/2012,14% ,57% ,20% ,9% ,0% 
05/2013,16% ,49% ,26% ,9% ,0% 

France
"date","Very satisfied","Fairly satisfied","Not very satisfied","Not at all satisfied","DK - Don't know"
09/1973,15% ,62% ,17% ,5% ,1% 
05/1975,16% ,59% ,16% ,7% ,2% 
10/1975,15% ,59% ,18% ,6% ,2% 
05/1976,14% ,59% ,20% ,6% ,1% 
11/1976,10% ,59% ,22% ,8% ,1% 
06/1977,11% ,57% ,23% ,8% ,1% 
10/1977,13% ,60% ,19% ,7% ,1% 
05/1978,12% ,59% ,19% ,9% ,1% 
10/1978,11% ,59% ,23% ,6% ,1% 
04/1979,10% ,58% ,22% ,9% ,1% 
04/1980,10% ,60% ,22% ,8% ,0% 
05/1981,12% ,58% ,22% ,7% ,1% 
05/1982,16% ,63% ,16% ,5% ,0% 
10/1982,13% ,60% ,20% ,7% ,0% 
04/1983,11% ,63% ,18% ,7% ,1% 
11/1983,15% ,60% ,18% ,6% ,1% 
04/1984,12% ,60% ,20% ,7% ,1% 
11/1984,11% ,62% ,21% ,5% ,1% 
04/1985,13% ,63% ,18% ,5% ,1% 
11/1985,10% ,58% ,22% ,8% ,2% 
03/1986,13% ,63% ,18% ,5% ,1% 
11/1986,12% ,58% ,22% ,6% ,2% 
05/1987,14% ,63% ,18% ,4% ,1% 
11/1987,11% ,57% ,23% ,8% ,1% 
04/1988,15% ,63% ,16% ,5% ,1% 
11/1988,14% ,43% ,35% ,8% ,0% 
03/1989,17% ,64% ,14% ,5% ,0% 
07/1989,18% ,59% ,19% ,3% ,1% 
11/1989,15% ,64% ,15% ,5% ,1% 
04/1990,16% ,64% ,13% ,6% ,1% 
11/1990,12% ,62% ,16% ,8% ,1% 
03/1991,15% ,64% ,13% ,6% ,1% 
10/1991,13% ,61% ,18% ,6% ,1% 
04/1992,12% ,59% ,19% ,9% ,1% 
10/1992,15% ,60% ,17% ,8% ,1% 
04/1993,14% ,56% ,22% ,9% ,0.30% 
11/1993,11% ,61% ,20% ,7% ,0.20% 
05/1994,14% ,59% ,20% ,6% ,0.30% 
12/1994,15% ,61% ,16% ,8% ,0.40% 
06/1995,13% ,60% ,18% ,7% ,1% 
01/1996,12% ,62% ,17% ,8% ,1% 
04/1997,12% ,62% ,17% ,9% ,1% 
05/1998,12% ,60% ,18% ,8% ,2% 
11/1999,16% ,64% ,14% ,5% ,1% 
06/2000,13% ,65% ,17% ,4% ,1% 
01/2001,15% ,67% ,13% ,4% ,1% 
05/2001,15% ,65% ,15% ,3% ,1% 
11/2001,14% ,64% ,15% ,5% ,2% 
11/2003,12.50% ,62.90% ,18.70% ,4.30% ,1.60% 
10/2004,18% ,64% ,12% ,5% ,1% 
06/2005,19% ,64% ,13% ,3% ,0% 
10/2005,16% ,65% ,14% ,5% ,0% 
04/2006,19% ,66% ,11% ,4% ,0% 
09/2006,18% ,67% ,11% ,4% ,0% 
05/2007,18% ,64% ,13% ,5% ,0% 
10/2007,18% ,67% ,11% ,4% ,0% 
04/2008,16% ,62% ,15% ,6% ,1% 
10/2008,16% ,64% ,14% ,6% ,0% 
06/2009,20% ,64% ,12% ,4% ,0% 
11/2009,18% ,64% ,14% ,4% ,0% 
06/2010,20% ,63% ,13% ,4% ,0% 
11/2010,18% ,66% ,11% ,5% ,0% 
05/2011,20% ,63% ,12% ,4% ,1% 
11/2011,15% ,61% ,17% ,6% ,1% 
05/2012,20% ,65% ,11% ,4% ,0% 
11/2012,20% ,66% ,10% ,4% ,0% 
05/2013,15% ,68% ,12% ,5% ,0% 

Ireland
"date","Very satisfied","Fairly satisfied","Not very satisfied","Not at all satisfied","DK - Don't know"
09/1973,53% ,39% ,6% ,2% ,0% 
05/1975,36% ,52% ,9% ,3% ,0% 
10/1975,40% ,50% ,7% ,3% ,0% 
05/1976,34% ,54% ,9% ,3% ,0% 
11/1976,37% ,50% ,9% ,4% ,0% 
06/1977,38% ,50% ,8% ,4% ,0% 
10/1977,42% ,47% ,6% ,5% ,0% 
05/1978,40% ,50% ,7% ,3% ,0% 
10/1978,41% ,45% ,8% ,5% ,0% 
04/1979,37% ,47% ,11% ,5% ,0% 
04/1980,34% ,52% ,11% ,3% ,0% 
05/1981,34% ,49% ,13% ,3% ,1% 
05/1982,40% ,46% ,11% ,2% ,1% 
10/1982,33% ,53% ,10% ,4% ,0% 
04/1983,35% ,47% ,12% ,5% ,1% 
11/1983,27% ,53% ,12% ,8% ,0% 
04/1984,36% ,47% ,10% ,6% ,1% 
11/1984,30% ,55% ,11% ,4% ,0% 
04/1985,31% ,50% ,12% ,6% ,1% 
11/1985,25% ,57% ,12% ,5% ,1% 
03/1986,33% ,49% ,11% ,6% ,1% 
11/1986,23% ,58% ,12% ,6% ,1% 
05/1987,28% ,52% ,12% ,7% ,1% 
11/1987,21% ,53% ,16% ,9% ,1% 
04/1988,30% ,50% ,13% ,7% ,0% 
11/1988,23% ,46% ,23% ,7% ,1% 
03/1989,30% ,52% ,12% ,6% ,0% 
07/1989,31% ,50% ,12% ,6% ,1% 
11/1989,37% ,48% ,7% ,8% ,0.60% 
04/1990,41% ,48% ,7% ,3% ,0.30% 
11/1990,28% ,55% ,11% ,4% ,1% 
03/1991,41% ,46% ,8% ,4% ,1% 
10/1991,40% ,46% ,8% ,4% ,0.70% 
04/1992,38% ,48% ,10% ,4% ,0.20% 
10/1992,36% ,48% ,11% ,4% ,1% 
04/1993,33% ,52% ,10% ,4% ,1% 
11/1993,32% ,52% ,11% ,4% ,1% 
05/1994,35% ,50% ,10% ,4% ,1% 
12/1994,39% ,48% ,9% ,2% ,1% 
06/1995,33% ,55% ,7% ,3% ,0.70% 
01/1996,34% ,56% ,8% ,2% ,0.80% 
04/1997,42% ,49% ,7% ,2% ,0.60% 
05/1998,33% ,56% ,7% ,2% ,2% 
11/1999,31% ,56% ,7% ,3% ,3% 
06/2000,35% ,53% ,8% ,3% ,1% 
01/2001,34% ,52% ,9% ,2% ,2% 
05/2001,37% ,53% ,7% ,2% ,1% 
11/2001,31% ,58% ,6% ,0.60% ,3% 
11/2003,28.30% ,57.30% ,10% ,1.30% ,3% 
10/2004,39% ,54% ,5% ,1% ,1% 
06/2005,36% ,53% ,8% ,2% ,1% 
10/2005,39% ,53% ,6% ,1% ,2% 
04/2006,37% ,54% ,6% ,2% ,2% 
09/2006,36% ,54% ,7% ,1% ,1% 
05/2007,35% ,55% ,5% ,3% ,2% 
10/2007,33% ,56% ,8% ,2% ,1% 
04/2008,35% ,53% ,6% ,2% ,4% 
10/2008,29% ,59% ,8% ,3% ,1% 
06/2009,39% ,49% ,8% ,3% ,1% 
11/2009,29% ,56% ,11% ,3% ,1% 
06/2010,37% ,51% ,9% ,2% ,1% 
11/2010,31% ,52% ,10% ,6% ,1% 
05/2011,35% ,53% ,8% ,4% ,0% 
11/2011,29% ,56% ,11% ,3% ,1% 
05/2012,30% ,56% ,13% ,1% ,0% 
11/2012,25% ,56% ,11% ,7% ,1% 
05/2013,24% ,57% ,13% ,5% ,1% 

Italy
"date","Very satisfied","Fairly satisfied","Not very satisfied","Not at all satisfied","DK - Don't know"
09/1973,8% ,57% ,27% ,7% ,1% 
05/1975,7% ,52% ,28% ,10% ,3% 
10/1975,9% ,48% ,30% ,12% ,1% 
05/1976,7% ,48% ,31% ,13% ,1% 
11/1976,9% ,48% ,29% ,13% ,1% 
06/1977,9% ,50% ,31% ,10% ,0% 
10/1977,8% ,54% ,27% ,11% ,0% 
05/1978,10% ,53% ,26% ,11% ,0% 
10/1978,9% ,54% ,25% ,12% ,0% 
04/1979,9% ,50% ,30% ,11% ,0% 
04/1980,10% ,54% ,27% ,9% ,0% 
05/1981,13% ,54% ,24% ,9% ,0% 
05/1982,14% ,57% ,22% ,7% ,0% 
10/1982,11% ,50% ,28% ,11% ,0% 
04/1983,11% ,56% ,24% ,9% ,0% 
11/1983,8% ,57% ,25% ,10% ,0% 
04/1984,10% ,54% ,26% ,10% ,0% 
11/1984,12% ,57% ,23% ,7% ,1% 
04/1985,15% ,52% ,23% ,9% ,1% 
11/1985,10% ,53% ,28% ,9% ,0% 
03/1986,11% ,61% ,21% ,7% ,0% 
11/1986,12% ,57% ,22% ,8% ,1% 
05/1987,14% ,57% ,22% ,7% ,0% 
11/1987,11% ,54% ,24% ,11% ,0% 
04/1988,12% ,62% ,21% ,5% ,0% 
11/1988,18% ,49% ,27% ,6% ,0% 
03/1989,17% ,59% ,18% ,6% ,0% 
07/1989,15% ,62% ,18% ,5% ,0% 
11/1989,15% ,64% ,16% ,4% ,0.30% 
04/1990,16% ,60% ,17% ,6% ,0.20% 
11/1990,13% ,60% ,19% ,7% ,0.40% 
03/1991,19% ,61% ,16% ,3% ,0.30% 
10/1991,19% ,60% ,16% ,5% ,0.60% 
04/1992,15% ,62% ,16% ,7% ,0.30% 
10/1992,13% ,60% ,19% ,7% ,0.80% 
04/1993,15% ,65% ,15% ,5% ,0.50% 
11/1993,14% ,60% ,21% ,5% ,0.10% 
05/1994,13% ,63% ,19% ,5% ,1% 
12/1994,12% ,65% ,17% ,5% ,0.70% 
06/1995,14% ,64% ,17% ,4% ,0.40% 
01/1996,12% ,67% ,16% ,4% ,0.50% 
04/1997,12% ,61% ,20% ,6% ,0.80% 
05/1998,13% ,61% ,21% ,5% ,0.60% 
11/1999,11% ,66% ,18% ,4% ,0.70% 
06/2000,8% ,61% ,24% ,7% ,0.60% 
01/2001,14% ,65% ,16% ,5% ,0.10% 
05/2001,16% ,63% ,17% ,3% ,1% 
11/2001,15% ,66% ,16% ,2% ,0.30% 
11/2003,12.10% ,63.90% ,21% ,2.80% ,0.20% 
10/2004,16% ,60% ,20% ,4% ,0% 
06/2005,9% ,64% ,22% ,4% ,1% 
10/2005,14% ,63% ,19% ,4% ,0% 
04/2006,14% ,62% ,19% ,4% ,0% 
09/2006,12% ,64% ,18% ,5% ,0% 
05/2007,11% ,63% ,20% ,5% ,1% 
10/2007,10% ,61% ,24% ,4% ,1% 
04/2008,5% ,59% ,27% ,9% ,0% 
10/2008,5% ,58% ,28% ,8% ,1% 
06/2009,9% ,61% ,23% ,7% ,0% 
11/2009,7% ,64% ,21% ,7% ,1% 
06/2010,7% ,65% ,22% ,6% ,0% 
11/2010,11% ,60% ,23% ,6% ,0% 
05/2011,9% ,65% ,21% ,4% ,1% 
11/2011,4% ,60% ,29% ,6% ,1% 
05/2012,7% ,53% ,29% ,11% ,0% 
